,,
,,
Protocol Number,Min of Date of final patient approval,Min of Treatment start date
WO41554,6-Sep-2025,30-Dec-1899
WO41994,22-Jun-2023,13-Jul-2023
WO42017,1-Mar-2023,1-Jun-2023
WO42178,25-Jul-2024,19-Sep-2024
WP29945,11-Dec-2019,25-Feb-2020
WP43295,4-Sep-2025,30-Dec-1899
WP44131,3-May-2024,21-Aug-2024
YO29232,8-Feb-2021,3-Mar-2021
YO39309,4-Jan-2022,10-May-2022
YO39609,7-Apr-2025,4-Jun-2025
YO40245,13-Jul-2021,19-Aug-2021
Grand Total,13-Aug-2012,15-Jun-2015
